parameter,23july.bag,23july1.bag,23july2.bag,23july3.bag,23july4.bag,evidence/confidence
target_explorer.goal_obstacle_clearance_m,1.70 [CONFIRMED_IN_BAG],0.10 [CONFIRMED_IN_BAG],0.10 [CONFIRMED_IN_BAG],0.10 [CONFIRMED_IN_BAG],0.10 [CONFIRMED_IN_BAG],Required clearance is written verbatim in Target Explorer /rosout.
"target_explorer.final_target_(x,y)","(1.00, 24.00) [CONFIRMED_IN_BAG]","(0.00, 27.00) [CONFIRMED_IN_BAG]","(0.00, 27.00) [CONFIRMED_IN_BAG]","(0.00, 27.00) [CONFIRMED_IN_BAG]","(0.00, -15.00) [CONFIRMED_IN_BAG]",Startup /rosout records the final local target.
local_costmap.effective_published_footprint_radius_m,1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],"Derived from recorded published-footprint vertices. This confirms effective geometry, not whether robot_radius or footprint produced it."
local_costmap.robot_radius,1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],robot_radius is 1.0 in both the git baseline and matching installed Nav2 YAML; the separately reported recorded footprint geometry is consistent with this value. No static event emitted the config key.
global_costmap.effective_published_footprint_radius_m,1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],1.015 [CONFIRMED_IN_BAG],"Derived from recorded published-footprint vertices. This confirms effective geometry, not whether robot_radius or footprint produced it."
global_costmap.robot_radius,1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],1.0 [STRONGLY_INFERRED],robot_radius is 1.0 in both the git baseline and matching installed Nav2 YAML; the separately reported recorded footprint geometry is consistent with this value. No static event emitted the config key.
map.resolution,0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],Recorded OccupancyGrid metadata.
global_costmap.resolution,0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],0.050 [CONFIRMED_IN_BAG],Recorded OccupancyGrid metadata.
local_costmap.resolution,0.020 [CONFIRMED_IN_BAG],0.020 [CONFIRMED_IN_BAG],0.020 [CONFIRMED_IN_BAG],0.020 [CONFIRMED_IN_BAG],0.020 [CONFIRMED_IN_BAG],Recorded OccupancyGrid metadata.
local_costmap.inflation_radius,0.50 [STRONGLY_INFERRED],0.50 [STRONGLY_INFERRED],0.50 [STRONGLY_INFERRED],0.95 [STRONGLY_INFERRED],0.95 [STRONGLY_INFERRED],Git baseline was 0.50; installed YAML became 0.95 at 21:22:36. Nav2 for 23july/1/2 started before that copy; Nav2 for 23july3/4 started after it. Static values were not emitted in bag events.
global_costmap.inflation_radius,0.50 [STRONGLY_INFERRED],0.50 [STRONGLY_INFERRED],0.50 [STRONGLY_INFERRED],0.95 [STRONGLY_INFERRED],0.95 [STRONGLY_INFERRED],Git baseline was 0.50; installed YAML became 0.95 at 21:22:36. Nav2 for 23july/1/2 started before that copy; Nav2 for 23july3/4 started after it. Static values were not emitted in bag events.
local_costmap.inflation_layer.cost_scaling_factor,5.0 [STRONGLY_INFERRED],5.0 [STRONGLY_INFERRED],5.0 [STRONGLY_INFERRED],5.0 [STRONGLY_INFERRED],5.0 [STRONGLY_INFERRED],"Value is unchanged across git baseline, source, and installed matching YAML."
global_costmap.inflation_layer.cost_scaling_factor,3.0 [STRONGLY_INFERRED],3.0 [STRONGLY_INFERRED],3.0 [STRONGLY_INFERRED],3.0 [STRONGLY_INFERRED],3.0 [STRONGLY_INFERRED],"Value is unchanged across git baseline, source, and installed matching YAML."
local_costmap.obstacle_layer.scan.obstacle_min_range,0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
local_costmap.obstacle_layer.scan.obstacle_max_range,6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
local_costmap.obstacle_layer.scan.raytrace_max_range,6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],6.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
local_costmap.obstacle_layer.scan.min_obstacle_height,0.2 [STRONGLY_INFERRED],0.2 [STRONGLY_INFERRED],0.2 [STRONGLY_INFERRED],0.2 [STRONGLY_INFERRED],0.2 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
local_costmap.obstacle_layer.scan.max_obstacle_height,2.0 [STRONGLY_INFERRED],2.0 [STRONGLY_INFERRED],2.0 [STRONGLY_INFERRED],2.0 [STRONGLY_INFERRED],2.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
global_costmap.obstacle_layer.scan.obstacle_min_range,0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],0.1 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
global_costmap.obstacle_layer.scan.obstacle_max_range,20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
global_costmap.obstacle_layer.scan.raytrace_min_range,0.0 [STRONGLY_INFERRED],0.0 [STRONGLY_INFERRED],0.0 [STRONGLY_INFERRED],0.0 [STRONGLY_INFERRED],0.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
global_costmap.obstacle_layer.scan.raytrace_max_range,20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],20.0 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
global_costmap.obstacle_layer.scan.min_obstacle_height,0.20 [STRONGLY_INFERRED],0.20 [STRONGLY_INFERRED],0.20 [STRONGLY_INFERRED],0.20 [STRONGLY_INFERRED],0.20 [STRONGLY_INFERRED],Unchanged across the pre-test git baseline and matching installed Nav2 YAML; not emitted as a static ParameterEvent.
